Y,variable,value,color
This_sig,X1,NA,A
Gao_et_al._sig,X1,NA,B
Jiang_et_al._cohort,X1,NA,B
Jiang_et_al._sig,X1,NA,A
This_sig,X2,NA,A
Gao_et_al._cohort,X2,NA,B
Jiang_et_al._cohort,X2,NA,A
Jiang_et_al._sig,X2,NA,B
This_cohort,X3,NA,B
This_sig,X3,NA,A
Gao_et_al._cohort,X3,NA,A
Gao_et_al._sig,X3,NA,B
Jiang_et_al._cohort,X3,NA,A
Jiang_et_al._sig,X3,NA,A
This_sig,X4,NA,B
Jiang_et_al._cohort,X4,NA,B
This_sig,X5,NA,B
Gao_et_al._cohort,X5,NA,B
Jiang_et_al._cohort,X5,NA,A
This_sig,X6,NA,A
Gao_et_al._cohort,X6,NA,A
This_cohort,X6,NA,B
Jiang_et_al._cohort,X6,NA,A
Jiang_et_al._sig,X6,NA,B
